Organization,Region,Type,Facilities,EHR_Vendor,EHR_Lifecycle_Phase,GoLive_Date,Training_Model,VILT_Evidence,Web_Conferencing,LMS,Tier,Confidence,Evidence_URLs,Notes
"11 Epic implementations, go-lives in the past 90 days",both,,,,,,,,,,Confirmed,65,https://www.beckershospitalreview.com/healthcare-information-technology/11-epic-implementations-go-lives-in-the-past-90-days/,missing=vilt_present
Piedmont Launches Epic Electronic Medical Records System at ...,both,,,,,,,,,,Probable,50,https://www.piedmont.org/about-piedmont-healthcare/media-room/stories/news-article?story=4667&type=1,missing=vilt_present
Healthcare IT | CSI Companies,both,,,,,,,,,,Probable,50,https://csicompanies.com/healthcare-it/,missing=vilt_present
EHR Training for Healthcare Professionals: Modern eLearning...,both,,,,,,,,,,Confirmed,95,https://www.kytewayelearning.com/article/ehr-training-for-healthcare-professionals,
3 EHR training best practices for clinician satisfaction | TechTarget,both,,,,,,,,,,Confirmed,90,https://www.techtarget.com/searchhealthit/feature/EHR-training-best-practices-for-clinician-satisfaction,
Virtual EHR Training : Success Stories from Healthcare Leaders,both,,,,,,,,,,Confirmed,95,https://www.uperform.com/blog/virtual-ehr-training/,
5 Tips For Delivering Professional Virtual EHR Training,both,,,,,,,,,,Confirmed,80,https://www.314e.com/jeeves/blog/5-tips-for-delivering-professional-virtual-ehr-training/,
Free EHR Systems for Healthcare Simulation | HealthySimulation.com,both,,,,,,,,,,Confirmed,80,https://www.healthysimulation.com/free-ehr-healthcare-simulation/,
Boost Clinician Satisfaction & Maximize EHR ROI by...,both,,,,,,,,,,Confirmed,60,https://amplifire.com/resource/boost-clinician-satisfaction-maximize-ehr-roi-by-enhancing-the-learning-experience-with-online-learning/,missing=vilt_present
The Business Opportunity in Epic EHR Online Training,both,,,,,,,,,,Confirmed,95,https://www.lmsportals.com/post/the-business-opportunity-in-epic-ehr-online-training,
